Fecha,Tipo
01/10/2013,13.10859
15/10/2013,12.91337692
01/11/2013,13.11248
15/11/2013,13.01827
01/12/2013,12.99554
15/12/2013,12.99133636
01/01/2014,13.07563333
15/01/2014,13.32276667
01/02/2014,13.31171
15/02/2014,13.26533333
01/03/2014,13.24005
15/03/2014,13.15196364
01/04/2014,13.03915
15/04/2014,13.07890909
01/05/2014,12.973
15/05/2014,12.88428182
01/06/2014,12.95938
15/06/2014,13.0174
01/07/2014,12.97877778
15/07/2014,12.99873846
01/08/2014,13.19419
15/08/2014,13.09429091
01/09/2014,13.15488889
15/09/2014,13.30778333
01/10/2014,13.43097
15/10/2014,13.51867692
01/11/2014,13.57842
15/11/2014,13.66748889
01/12/2014,14.35746
15/12/2014,14.69123333
01/01/2015,14.7078
15/01/2015,14.69428182
01/02/2015,14.87072
15/02/2015,14.96073333
01/03/2015,15.31741
15/03/2015,15.16065
01/04/2015,15.09118889
15/04/2015,15.330025
01/05/2015,15.32227
15/05/2015,15.2256
01/06/2015,15.50857
15/06/2015,15.45629167
01/07/2015,15.7418
15/07/2015,16.10542308
01/08/2015,16.28585
15/08/2015,16.82187273
01/09/2015,16.85447
15/09/2015,16.83384167
01/10/2015,16.62652
15/10/2015,16.536275
01/11/2015,16.64673
15/11/2015,16.61265455
01/12/2015,16.93262
15/12/2015,17.18679231
01/01/2016,17.68346
15/01/2016,18.40206364
01/02/2016,18.60686
15/02/2016,18.33055455
01/03/2016,17.8126
15/03/2016,17.45963846
01/04/2016,17.58317
15/04/2016,17.38349091
01/05/2016,17.87025
15/05/2016,18.430825
01/06/2016,18.55889
15/06/2016,18.70066667
01/07/2016,18.52001
15/07/2016,18.66511818
01/08/2016,18.62438
15/08/2016,18.39946154
01/09/2016,18.7291
15/09/2016,19.59638333
01/10/2016,19.10583
15/10/2016,18.69763636
01/11/2016,19.56467
15/11/2016,20.53876667
01/12/2016,20.4401
15/12/2016,20.5956
01/01/2017,21.4233
15/01/2017,21.37043333
01/02/2017,20.45335
15/02/2017,20.09749
01/03/2017,19.683
15/03/2017,18.95736154
01/04/2017,18.68571
15/04/2017,18.81598
01/05/2017,18.9466
15/05/2017,18.63413077
01/06/2017,18.26095
15/06/2017,18.02825
01/07/2017,17.99616
15/07/2017,17.64983636
01/08/2017,17.87434
15/08/2017,17.74527692
01/09/2017,17.7574
15/09/2017,17.91929091
01/10/2017,18.57642
15/10/2017,19.04655
01/11/2017,19.09524
15/11/2017,18.76079167
01/12/2017,18.91786
15/12/2017,19.50298182
01/01/2018,19.26977778
15/01/2018,18.65559231
01/02/2018,18.65588
15/02/2018,18.639225
01/03/2018,18.70582143
15/03/2018,18.4919
01/04/2018,18.20865
15/04/2018,18.50840625
01/05/2018,19.31725
15/05/2018,19.72575882
01/06/2018,20.33613571
15/06/2018,20.20545625
01/07/2018,19.22222857
15/07/2018,18.80875294
01/08/2018,18.71992857
15/08/2018,18.95486471
01/09/2018,19.18542857
15/09/2018,18.8359
01/10/2018,18.92890833
15/10/2018,19.40782667
01/11/2018,20.114775
15/11/2018,20.33521429
01/12/2018,20.314025
15/12/2018,19.90135
01/01/2019,19.33776667
15/01/2019,19.04633333
01/02/2019,19.16493333
15/02/2019,19.20430833
01/03/2019,19.36095833
15/03/2019,19.1491
01/04/2019,19.00204167
15/04/2019,18.90007143
01/05/2019,19.07723333
15/05/2019,19.1255
01/06/2019,19.46585
15/06/2019,19.15061538
01/07/2019,19.03573636
15/07/2019,19.05906
01/08/2019,19.47498333
15/08/2019,19.88556667
01/09/2019,19.62515
15/09/2019,19.52908462
01/10/2019,19.53958333
15/10/2019,19.13819333
01/11/2019,19.182425
15/11/2019,19.40711429
01/12/2019,19.26585
15/12/2019,18.93226429
01/01/2020,18.85045833
15/01/2020,18.75591333
01/02/2020,18.68821667
15/02/2020,19.00920769
01/03/2020,20.61539167
15/03/2020,23.88232143
01/04/2020,24.06198333
15/04/2020,24.30025
01/05/2020,24.12055
15/05/2020,22.90127857
01/06/2020,21.94295833
15/06/2020,22.66896429
01/07/2020,22.53340833
15/07/2020,22.28338667
01/08/2020,22.37415833
15/08/2020,21.9907
01/09/2020,21.51669167
15/09/2020,21.74807143
01/10/2020,21.42918333
15/10/2020,21.11372667
01/11/2020,20.65173333
15/11/2020,20.13072308
01/12/2020,19.96343333
15/12/2020,19.93582667
