Fecha,"General","Subyacente","No_subyacente"
2Q Jun 2007,63.10168701,67.34620695,51.3198669
1Q Jul 2007,63.25658545,67.46254427,51.57538254
2Q Jul 2007,63.39542418,67.52656759,51.91162164
1Q Ago 2007,63.52493793,67.64291757,52.07377385
2Q Ago 2007,63.64357252,67.71147907,52.3256403
1Q Sep 2007,64.03988458,67.96199617,53.10343894
2Q Sep 2007,64.1155206,68.03982768,53.1731509
1Q Oct 2007,64.32015232,68.16586677,53.58387438
2Q Oct 2007,64.33413981,68.28163636,53.32777419
1Q Nov 2007,64.74806574,68.36453876,54.61411639
2Q Nov 2007,64.81437677,68.39241864,54.78210759
1Q Dic 2007,64.9418183,68.598755,54.69825142
2Q Dic 2007,65.15681112,68.68088727,55.26346083
1Q Ene 2008,65.33502203,68.84767089,55.47143895
2Q Ene 2008,65.36610533,69.02735292,55.10916672
1Q Feb 2008,65.44847607,69.14104944,55.10641962
2Q Feb 2008,65.64119252,69.32671569,55.31766176
1Q Mar 2008,65.95461579,69.54503247,55.88003808
2Q Mar 2008,66.08464759,69.59791868,56.21311646
1Q Abr 2008,66.12350171,69.76454423,55.91282396
2Q Abr 2008,66.21675161,69.92554777,55.82605289
1Q May 2008,66.04164903,70.10152292,54.72405465
2Q May 2008,66.15562112,70.25460124,54.73344421
1Q Jun 2008,66.34419313,70.4334928,54.94597285
2Q Jun 2008,66.40066113,70.58186354,54.75712285
1Q Jul 2008,66.65502612,70.74562697,55.24991858
2Q Jul 2008,66.82961065,70.83566697,55.64658603
1Q Ago 2008,67.03579653,70.99568489,55.97237812
2Q Ago 2008,67.21970605,71.1704026,56.17970119
1Q Sep 2008,67.51396128,71.45570344,56.49517459
2Q Sep 2008,67.65590835,71.54023073,56.78772712
1Q Oct 2008,67.98539132,71.63947522,57.7238646
2Q Oct 2008,68.10506202,71.76583379,57.82547097
1Q Nov 2008,68.74796825,71.98097841,59.59389105
2Q Nov 2008,68.88991531,72.07723228,59.85639399
1Q Dic 2008,69.20282052,72.37689893,60.1998204
2Q Dic 2008,69.3882842,72.50439532,60.53870769
1Q Ene 2009,69.4918952,72.70068895,60.39496332
2Q Ene 2009,69.42040361,72.81694874,59.82845678
1Q Feb 2009,69.5390382,73.01752617,59.72942109
2Q Feb 2009,69.67994916,73.17702147,59.81902139
1Q Mar 2009,69.89546003,73.37419527,60.08208301
2Q Mar 2009,70.12444033,73.57350261,60.38734498
1Q Abr 2009,70.22442494,73.74273838,60.30282741
2Q Abr 2009,70.28555543,73.82686405,60.30191267
1Q May 2009,70.04465987,73.88995625,59.25914684
2Q May 2009,70.05657513,73.97316858,59.08221375
1Q Jun 2009,70.15086114,74.07762364,59.14818179
2Q Jun 2009,70.20784719,74.15816393,59.14250016
1Q Jul 2009,70.34875814,74.31252119,59.24704618
2Q Jul 2009,70.3917567,74.37717838,59.2332625
1Q Ago 2009,70.46946495,74.43907702,59.35042569
2Q Ago 2009,70.60830369,74.47934917,59.74892157
1Q Sep 2009,70.88649921,74.70390616,60.16741813
2Q Sep 2009,70.89893253,74.80328661,59.94959118
1Q Oct 2009,71.14449059,74.96939942,60.40243496
2Q Oct 2009,71.06989067,75.02069845,59.99600129
1Q Nov 2009,71.44340832,75.08532368,61.1832779
2Q Nov 2009,71.5092013,75.12048035,61.32975917
1Q Dic 2009,71.6910386,75.38114576,61.30254477
2Q Dic 2009,71.8521537,75.52335348,61.51085449
1Q Ene 2010,72.38989477,75.89452887,62.48536245
2Q Ene 2010,72.71419719,76.14391503,63.00471925
1Q Feb 2010,72.84681926,76.27021329,63.15326702
2Q Feb 2010,73.09652176,76.39634668,63.72819927
1Q Mar 2010,73.43066722,76.52624437,64.59908803
2Q Mar 2010,73.54878376,76.67603287,64.63250664
1Q Abr 2010,73.32239373,76.65356487,63.86783106
